id	conversation_id	created_at	date	time	timezone	user_id	username	name	place	tweet	language	mentions	urls	photos	replies_count	retweets_count	likes_count	hashtags	cashtags	link	retweet	quote_url	video	thumbnail	near	geo	source	user_rt_id	user_rt	retweet_id	reply_to	retweet_date	translate	trans_src	trans_dest
1604626925607354368	1604626925607354368	2022-12-18 23:57:26 UTC	2022-12-18	23:57:26	+0000	705580837828325376	grda_wbu	Grd		"Congrats champ🥳🥳 Bukan fans sepak bola, pemain yang dikenal hanya yang ""terkenal"", nonton final pildun pas final pun hanya sampai akhir babak 1 terus ketiduran. Tapi paginya pas lihat euforianya, ikutan seneng dongg😌 selamat untuk Argentina🥳🥳  https://t.co/Zu9nvkWpvO"	in	[]	[]	['https://pbs.twimg.com/media/FkTHqa8aAAAhDSJ.jpg', 'https://pbs.twimg.com/media/FkTHrB5akAAY--L.jpg', 'https://pbs.twimg.com/media/FkTHrkYakAET_FQ.jpg']	0	0	0	[]	[]	https://twitter.com/grda_wbu/status/1604626925607354368	False		1	https://pbs.twimg.com/media/FkTHqa8aAAAhDSJ.jpg							[]				
1604626858753945602	1604626858753945602	2022-12-18 23:57:10 UTC	2022-12-18	23:57:10	+0000	1404046201482145794	medicinematic	ben.		beneran pada nobar final pildun anak anak😭😭	eu	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/medicinematic/status/1604626858753945602	False		0								[]				
1604626685948702720	1604626685948702720	2022-12-18 23:56:29 UTC	2022-12-18	23:56:29	+0000	482019401	silvimaliaa	Silvi Malia		Yang lain nonton final PilDun, lah aku jam 19.15 wib dah tidur sampe pagi 🥲	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/Silvimaliaa/status/1604626685948702720	False		0								[]				
1604626318569574400	1604626318569574400	2022-12-18 23:55:01 UTC	2022-12-18	23:55:01	+0000	2456274469	bbytriceratops	ᴘɪᴅɪ 🐰🐹🍬		AAAAA CHENLE KITA SEHATI!!! Final pildun 2014 masih berasa nyeseknya 💔	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/bbytriceratops/status/1604626318569574400	False	https://twitter.com/feedarchive/status/1604556451229626369	0								[]				
1604626266225008640	1604544529087967234	2022-12-18 23:54:49 UTC	2022-12-18	23:54:49	+0000	1455166223197429761	28kirkby28	Box-To-Box		@westenthu 2x final pildun di usia yg masih 23 dan nyetak goal di kedua final	in	[]	[]	[]	0	0	7	[]	[]	https://twitter.com/28kirkby28/status/1604626266225008640	False		0								[{'screen_name': 'westenthu', 'name': 'WAR = BLOCK', 'id': '1291404424250712064'}]				
1604626079477481472	1604626079477481472	2022-12-18 23:54:04 UTC	2022-12-18	23:54:04	+0000	1272219085594456065	vietnamydrip	yaya.✨		pagi ini kita akan mendengarkan temen2 kantorku yang ngomongn final pildun semalem.👀	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/vietnamydrip/status/1604626079477481472	False		0								[]				
1604625880558407680	1604625880558407680	2022-12-18 23:53:17 UTC	2022-12-18	23:53:17	+0000	2806940407	ayuuwaa	Cut🐝		Inti dari final pildun adl mbappe vs Argentina	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/ayuuwaa/status/1604625880558407680	False		0								[]				
1604625798149079040	1604625798149079040	2022-12-18 23:52:57 UTC	2022-12-18	23:52:57	+0000	1079620183566606336	elsyaaaaaaaaa	elsyaaa		Suasana final pildun  https://t.co/VYdpzUJG1g	tr	[]	[]	['https://pbs.twimg.com/media/FkTGqA1agAE2JS1.jpg', 'https://pbs.twimg.com/media/FkTGqA0akAED1oR.jpg']	0	0	0	[]	[]	https://twitter.com/elsyaaaaaaaaa/status/1604625798149079040	False		1	https://pbs.twimg.com/media/FkTGqA1agAE2JS1.jpg							[]				
1604625476621725696	1604612717171838976	2022-12-18 23:51:40 UTC	2022-12-18	23:51:40	+0000	1433367778736545792	onlyurdarknight	Leon		@Eclaiiirs abis final pildun soalnya	in	[]	[]	[]	0	0	0	[]	[]	https://twitter.com/onlyurdarknight/status/1604625476621725696	False		0								[{'screen_name': 'Eclaiiirs', 'name': 'Call me za', 'id': '1531161349828780038'}]				
1604625476042964995	1604625476042964995	2022-12-18 23:51:40 UTC	2022-12-18	23:51:40	+0000	1129810314919178242	sumalihh	metmet		Disaaat orang2 pada seneng sama vibes final pildun, gua masih ngurusin 1 org yg gua gatau dia siapa tapi bisa2nya dia ngarang cerita tentang gua dan ngancurin hubungan yg udh gua bangun selama ini	in	[]	[]	[]	1	0	1	[]	[]	https://twitter.com/Sumalihh/status/1604625476042964995	False		0								[]				
